Município,Eficiência CRS,Eficiência VRS,COD_MUN,Escala de Eficiência,gasto_per_capita,ideb_2019
Prefeitura Municipal de BiguaÁu - SC,0.16520283119999998,0.23322753,4202305,0.7083333223998042,351.910832814492,5.1
Prefeitura Municipal de S„o Domingos - SC,0.1648734885,0.18842685,4216107,0.8749999721377287,435.5817394522576,6.3
Prefeitura Municipal de DionÌsio Cerqueira - SC,0.1615422059,0.17359759,4205001,0.9305555791413925,472.7905048543689,6.7
Prefeitura Municipal de Indaial - SC,0.1614551862,0.17613293,4207502,0.9166666687484276,465.98494118339886,6.6
Prefeitura Municipal de Schroeder - SC,0.15958608559999998,0.1689735,4217402,0.9444444578587766,485.72878763025864,6.8
Prefeitura Municipal de PalhoÁa - SC,0.1581146655,0.19972379,4211900,0.7916666587390515,410.94400840371094,5.7
Prefeitura Municipal de Tun·polis - SC,0.1579768744,0.1602019,4218756,0.9861111160354527,512.3240955930718,7.1
Prefeitura Municipal de Gaspar - SC,0.1571541342,0.18250157,4205902,0.8611111356466686,449.7237540349083,6.2
Prefeitura Municipal de Cocal do Sul - SC,0.15590931839999997,0.17008289,4204251,0.9166666817573478,482.5605470261122,6.6
Prefeitura Municipal de Alfredo Wagner - SC,0.15553255900000001,0.17228222,4200705,0.9027777735856898,476.40025240384614,6.5
Prefeitura Municipal de AntÙnio Carlos - SC,0.1550504017,0.16662132,4201208,0.9305555957664963,492.5857710141481,6.7
Prefeitura Municipal de FlorianÛpolis - SC,0.154543596,0.18545232,4205407,0.833333311764447,442.56817742004193,6.0
Prefeitura Municipal de Descanso - SC,0.154481442,0.18537773,4204905,0.8333333351314638,442.7462397688974,6.0
Prefeitura Municipal de Ouro - SC,0.15285338659999997,0.15500625,4211801,0.9861111187452116,529.496663933306,7.1
Prefeitura Municipal de S„o Pedro de Alc‚ntara - SC,0.1526448742,0.17726501,4217253,0.8611111363714701,463.008978805395,6.2
Prefeitura Municipal de Luiz Alves - SC,0.15246821100000002,0.15682444,4210001,0.9722222569390333,523.3577880878737,7.0
Prefeitura Municipal de Rio do Oeste - SC,0.15031369979999998,0.16397858,4214607,0.9166666756109241,500.52448229613736,6.6
Prefeitura Municipal de Rio do Campo - SC,0.14890881,0.17869057,4214508,0.8333333426604438,459.315178123432,6.0
Prefeitura Municipal de Ipor„ do Oeste - SC,0.1482278196,0.9999999880000008,4207650,0.14822782137873375,645.9955248742314,8.4
Prefeitura Municipal de Nova Erechim - SC,0.14535163299999998,0.14950454,4211405,0.9722222014127463,548.9819575328614,7.0
Prefeitura Municipal de Garopaba - SC,0.145234665,0.3789149250000001,4205704,0.38329095904575405,588.6686613789436,7.5
Prefeitura Municipal de Laurentino - SC,0.1449401156,0.16831755,4209508,0.8611111295286795,487.62171490909094,6.2
Prefeitura Municipal de JoaÁaba - SC,0.1441055952,0.16469211,4209003,0.8749999936244668,498.35594997820766,6.3
Prefeitura Municipal de Modelo - SC,0.1433859392,0.16130918,4210902,0.888888897705636,508.8073261904762,6.4
Prefeitura Municipal de Guaramirim - SC,0.143310069,0.16378294,4206504,0.874999978630253,501.12236570672263,6.3
Prefeitura Municipal de Rio Fortuna - SC,0.14222965899999998,0.1575467,4214904,0.9027777731935989,520.9585046728972,6.5
Prefeitura Municipal de Balne·rio Arroio do Silva - SC,0.1406394385,0.18410981,4201950,0.7638888905485264,445.795323888233,5.5
Prefeitura Municipal de ConcÛrdia - SC,0.13993863210000002,0.15038181,4204301,0.930555577832186,545.7793788627101,6.7
Prefeitura Municipal de Itapiranga - SC,0.1391788186,0.1495653,4208401,0.9305555406233932,548.758942997132,6.7
Prefeitura Municipal de Rio Negrinho - SC,0.1390867725,0.15406535,4215000,0.9027777660583644,532.7303961430674,6.5
Prefeitura Municipal de Bom Retiro - SC,0.13860761580000003,0.18481015,4202602,0.7500000178561622,444.1059726443769,5.4
Prefeitura Municipal de Anchieta - SC,0.1379211468,0.14391772,4200804,0.9583333226790975,570.293169026394,6.9
Prefeitura Municipal de Canoinhas - SC,0.13791007560000001,0.15044735,4203808,0.9166666983499544,545.5416174819125,6.6
Prefeitura Municipal de Nova Trento - SC,0.1377858195,0.15746951,4211504,0.8749999888867374,521.2138785634432,6.3
Prefeitura Municipal de Cunha Por„ - SC,0.137447884,0.16223357,4204707,0.8472222117777474,505.90821405953136,6.1
Prefeitura Municipal de Arroio Trinta - SC,0.13647711,0.14037646,4201604,0.9722221945189387,584.6799070684315,7.0
Prefeitura Municipal de Araquari - SC,0.1357976144,0.16028571,4201307,0.8472222158793818,512.0562116589485,6.1
Prefeitura Municipal de Ibirama - SC,0.1357544656,0.14374002,4206900,0.9444444602136552,570.9982017870439,6.8
Prefeitura Municipal de MondaÌ - SC,0.1356669996,0.14156557,4211009,0.9583332981317421,579.7687620772947,6.9
Prefeitura Municipal de Princesa - SC,0.13525904260000002,0.28230611800000016,4214151,0.47912189632390445,623.6563586396427,7.4
Prefeitura Municipal de CaÁador - SC,0.134125878,0.16095106,4203006,0.8333333001969667,509.9394487754132,6.0
Prefeitura Municipal de Guaraciaba - SC,0.1328018482,0.20597854699999996,4206405,0.6447363093594403,626.6119627732913,7.3
Prefeitura Municipal de Rodeio - SC,0.1322718208,0.1488058,4215109,0.8888888793313164,551.559772213528,6.4
Prefeitura Municipal de Capivari de Baixo - SC,0.1317082195,0.17241803,4203956,0.7638889012941396,476.0249900240238,5.5
Prefeitura Municipal de IpuaÁu - SC,0.131463936,0.14789693,4207684,0.8888888768685056,554.9492696025779,6.4
Prefeitura Municipal de IÁara - SC,0.131393181,0.13710593,4207007,0.9583333193538749,598.626878969432,6.9
Prefeitura Municipal de Imbituba - SC,0.13087080280000002,0.15970674,4207304,0.8194444567586816,513.9125231919301,5.9
Prefeitura Municipal de Quilombo - SC,0.1298582945,0.13954921,4214201,0.9305555688921492,588.1458837723708,6.7
Prefeitura Municipal de Lages - SC,0.12961809279999997,0.16665183,4209300,0.7777777945792733,492.4955913733097,5.6
Prefeitura Municipal de Pomerode - SC,0.1294085409,0.135035,4213203,0.958333327655793,607.8075445640932,6.9
Prefeitura Municipal de Fraiburgo - SC,0.1290949462,0.2694406479999998,4205506,0.4791220150272208,653.4350673572275,7.4
Prefeitura Municipal de Treze de Maio - SC,0.1288335498,0.15993131,4218400,0.8055555213047402,513.1909137199434,5.8
Prefeitura Municipal de Ararangu· - SC,0.1288114016,0.16561466,4201406,0.7777777740207298,495.5798906448845,5.6
Prefeitura Municipal de Balne·rio Rinc„o - SC,0.12802098139999998,0.1589226,4220000,0.8055555433903043,516.4482171837709,5.8
Prefeitura Municipal de Lauro Muller - SC,0.12732434560000003,0.14323989,4209607,0.8888888814421738,572.9918927112166,6.4
Prefeitura Municipal de Palma Sola - SC,0.1257267096,0.1331224,4212007,0.9444444330931533,616.5400642140469,6.8
Prefeitura Municipal de Crici˙ma - SC,0.1256128308,0.14587297,4204608,0.8611110804146923,562.6490936659421,6.2
Prefeitura Municipal de Lontras - SC,0.12484603550000001,0.15235448,4209904,0.8194444659585988,538.7126838050577,5.9
Prefeitura Municipal de Doutor Pedrinho - SC,0.1243025784,0.14206009,4205159,0.8749999975362539,577.75052828308,6.3
Prefeitura Municipal de Riqueza - SC,0.1240616312,0.19242230700000018,4215075,0.6447362217728732,670.7571484037964,7.3
Prefeitura Municipal de Balne·rio Cambori˙ - SC,0.1238303477,0.14616041,4202008,0.8472222245408315,561.5425704235504,6.1
Prefeitura Municipal de Peritiba - SC,0.1232062778,0.25715013399999975,4212601,0.4791219661584937,684.6661016346837,7.4
Prefeitura Municipal de IrineÛpolis - SC,0.1224235946,0.25551655800000006,4207908,0.4791219620295604,689.0433312415958,7.4
Prefeitura Municipal de Orleans - SC,0.1206745241,0.12968009,4211702,0.9305555239821317,632.9059016897081,6.7
